title,authorName,synopsis,category,price,stock,coverImageUrl
Pride and Prejudice,Jane Austen,"Pride and Prejudice is an 1813 novel of manners written by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.

Mr. Bennet, owner of the Longbourn estate in Hertfordshire, has five daughters, but his property is entailed and can only be passed to a male heir. His wife also lacks an inheritance, so his family faces becoming very poor upon his death. Thus, it is imperative that at least one of the girls marry well to support the others, which is a motivation that drives the plot.",Historia,12.99,71,https://covers.openlibrary.org/b/id/14348537-M.jpg
Alice's Adventures in Wonderland,Lewis Carroll,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.",Historia,7.88,69,https://covers.openlibrary.org/b/id/10527843-M.jpg
Bible,Bible,"A Christian Bible is a set of books divided into the Old and New Testament that a Christian denomination has, at some point in their past or present, regarded as divinely inspired scripture.",Historia,47.42,1,https://covers.openlibrary.org/b/id/12707846-M.jpg
The Picture of Dorian Gray,Oscar Wilde,"**The Picture of Dorian Gray** is a philosophical novel by Irish writer Oscar Wilde. A shorter novella-length version was published in the July 1890 issue of the American periodical *Lippincott’s Monthly Magazine*. The novel-length version was published in April 1891.

(Source: [Wikipedia](https://en.wikipedia.org/wiki/The_Picture_of_Dorian_Gray))",Historia,46.16,93,https://covers.openlibrary.org/b/id/14314858-M.jpg
A Christmas Carol,Charles Dickens,"An allegorical novella descibing the rehabilitation of bitter, miserly businessman Ebenezer Scrooge. The reader is witness to his transformation as Scrooge is shown the error of his ways by the ghost of former partner Jacob Marley and the spirits of Christmas past, present and future. The first of the Christmas books (Dickens released one a year from 1843&ndash;1847) it became an instant hit.",Historia,24.46,31,https://covers.openlibrary.org/b/id/13299222-M.jpg
Adventures of Huckleberry Finn,Mark Twain,"Adventures of Huckleberry Finn or as it is known in more recent editions, The Adventures of Huckleberry Finn, is a novel by American author Mark Twain, which was first published in the United Kingdom in December 1884 and in the United States in February 1885.

Commonly named among the Great American Novels, the work is among the first in major American literature to be written throughout in vernacular English, characterized by local color regionalism. It is told in the first person by Huckleberry ""Huck"" Finn, the narrator of two other Twain novels (Tom Sawyer Abroad and Tom Sawyer, Detective) and a friend of Tom Sawyer. It is a direct sequel to The Adventures of Tom Sawyer.",Historia,36.87,32,https://covers.openlibrary.org/b/id/8157718-M.jpg
Oliver Twist,Charles Dickens,"Oliver Twist; or, The Parish Boy's Progress, is the second novel by English author Charles Dickens. It was originally published as a serial from 1837 to 1839, and as a three-volume book in 1838. The story follows the titular orphan, who, after being raised in a workhouse, escapes to London, where he meets a gang of juvenile pickpockets led by the elderly criminal Fagin, discovers the secrets of his parentage, and reconnects with his remaining family.

Oliver Twist unromantically portrays the sordid lives of criminals, and exposes the cruel treatment of the many orphans in London in the mid-19th century.[2] The alternative title, The Parish Boy's Progress, alludes to Bunyan's The Pilgrim's Progress, as well as the 18th-century caricature series by painter William Hogarth, A Rake's Progress and A Harlot's Progress.

In an early example of the social novel, Dickens satirises child labour, domestic violence, the recruitment of children as criminals, and the presence of street children. The novel may have been inspired by the story of Robert Blincoe, an orphan whose account of working as a child labourer in a cotton mill was widely read in the 1830s. It is likely that Dickens's own experiences as a youth contributed as well, considering he spent two years of his life in the workhouse at the age of 12 and subsequently, missed out on some of his education.",Historia,34.44,17,https://covers.openlibrary.org/b/id/13300802-M.jpg
Frankenstein or The Modern Prometheus,Mary Shelley,"*Frankenstein; or, The Modern Prometheus* is an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821.",Historia,45.92,73,https://covers.openlibrary.org/b/id/12356249-M.jpg
A Tale of Two Cities,Charles Dickens,"A Tale of Two Cities is a historical novel published in 1859 by Charles Dickens, set in London and Paris before and during the French Revolution. The novel tells the story of the French Doctor Manette, his 18-year-long imprisonment in the Bastille in Paris, and his release to live in London with his daughter Lucie whom he had never met. The story is set against the conditions that led up to the French Revolution and the Reign of Terror. In the Introduction to the Encyclopedia of Adventure Fiction, critic Don D'Ammassa argues that it is an adventure novel because the protagonists are in constant danger of being imprisoned or killed.

As Dickens's best-known work of historical fiction, A Tale of Two Cities is said to be one of the best-selling novels of all time. In 2003, the novel was ranked 63rd on the BBC's The Big Read poll. The novel has been adapted for film, television, radio, and the stage, and has continued to influence popular culture.",Historia,48.77,74,https://covers.openlibrary.org/b/id/13301713-M.jpg
The Wonderful Wizard of Oz,L. Frank Baum,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.",Historia,23.88,89,https://covers.openlibrary.org/b/id/552443-M.jpg
Sense and Sensibility,Jane Austen,"When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her, Marianne finds the dashing and fiery Willoughby more to her taste. Both relationships are sorely tried. But this is a romance, and through the hardships and heartbreak, true love and a happy ending will find their way for both the sister who is all sense and the one who is all sensibility. - Publisher.",Historia,38.98,16,https://covers.openlibrary.org/b/id/9278292-M.jpg
Treasure Island,Robert Louis Stevenson,"Traditionally considered a coming-of-age story, Treasure Island is an adventure tale known for its atmosphere, characters and action, and also as a wry commentary on the ambiguity of morality — as seen in Long John Silver — unusual for children's literature then and now. It is one of the most frequently dramatized of all novels. The influence of Treasure Island on popular perceptions of pirates is enormous, including treasure maps marked with an ""X"", schooners, the Black Spot, tropical islands, and one-legged seamen carrying parrots on their shoulders",Historia,20.58,48,https://covers.openlibrary.org/b/id/13859660-M.jpg
Little Women,Louisa May Alcott,"Louisa May Alcotts classic novel, set during the Civil War, has always captivated even the most reluctant readers. Little girls, especially, love following the adventures of the four March sisters--Meg, Beth, Amy, and most of all, the tomboy Jo--as they experience the joys and disappointments, tragedies and triumphs, of growing up. This simpler version captures all the charm and warmth of the original.",Historia,35.43,31,https://covers.openlibrary.org/b/id/8775559-M.jpg
The Secret Garden,Frances Hodgson Burnett,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,Historia,14.05,72,https://covers.openlibrary.org/b/id/12622062-M.jpg
Don Quijote de la Mancha,Miguel de Cervantes Saavedra,"*Don Quijote de la Mancha* es una novela escrita por el español Miguel de Cervantes Saavedra. Publicada su primera parte con el título de *El ingenioso hidalgo don Quijote de la Mancha* a comienzos de 1605, es la obra más destacada de la literatura española y una de las principales de la literatura universal. En 1615 apareció su continuación con el título de *Segunda parte del ingenioso caballero don Quijote de la Mancha.* Es la primera obra genuinamente desmitificadora de la tradición caballeresca y cortés por su tratamiento burlesco. Representa la primera novela moderna y la primera novela polifónica; como tal, ejerció un enorme influjo en toda la narrativa europea. La novela ha sido calificada por numerosos autores de renombre como la «mejor novela de todos los tiempos» y la «obra más importante y fundamental de la literatura universal». Don Quijote es también uno de los libros más traducidos del mundo y una de las novelas más vendidas de todos los tiempos.


----------


*The Ingenious Gentleman Don Quixote of La Mancha* known simply as *Don Quixote* is a Spanish novel by Miguel de Cervantes, originally published in two parts, in 1605 and 1615 and considered a founding work of Western literature. It's often said to be the first modern novel. The novel has been labelled by many well-known authors as the ""best novel of all time"" and the ""best and most central work in world literature"". Don Quixote is also one of the most-translated books in the world and one of the best-selling novels of all time.",Historia,18.25,65,https://covers.openlibrary.org/b/id/14428305-M.jpg
Madame Bovary,Gustave Flaubert,"Charles Bovary, médecin de campagne, veuf d'une mégère, fait lors d'une tournée la rencontre du père Rouault et de sa fille, Emma. Après leur mariage, Emma reste insatisfaite et rêve d'une nouvelle vie. Son premier amant lui donne le goût du luxe et fait miroiter un avenir à deux avant de l'abandonner. Une fois remise, Emma continue à faire de folles dépenses, qui peu à peu la mènent à la ruine et au déshonneur. (Résumé par Nadine)


----------
See also:

 - [Madame Bovary: 1/2](https://openlibrary.org/works/OL29255465W/Madame_Bovary_1_2)
 - [Madame Bovary: 2/2](https://openlibrary.org/works/OL29255459W/Madame_Bovary_2_2)

----------


Also contained in:

 - [The Best Known Works of Gustave Flaubert][1]
 - [Pages choisies des grands écrivains](https://openlibrary.org/works/OL15580389W)

  [1]: https://openlibrary.org/works/OL893933W/The_best_known_works_of_Gustave_Flaubert",Historia,30.21,23,https://covers.openlibrary.org/b/id/12993424-M.jpg
Great Expectations,Charles Dickens,"Great Expectations is the thirteenth novel by Charles Dickens and his penultimate completed novel. It depicts the education of an orphan nicknamed Pip (the book is a bildungsroman; a coming-of-age story). It is Dickens' second novel, after David Copperfield, to be fully narrated in the first person. The novel was first published as a serial in Dickens's weekly periodical All the Year Round, from 1 December 1860 to August 1861. In October 1861, Chapman and Hall published the novel in three volumes.

The novel is set in Kent and London in the early to mid-19th century and contains some of Dickens's most celebrated scenes, starting in a graveyard, where the young Pip is accosted by the escaped convict Abel Magwitch. Great Expectations is full of extreme imagery – poverty, prison ships and chains, and fights to the death – and has a colourful cast of characters who have entered popular culture. These include the eccentric Miss Havisham, the beautiful but cold Estella, and Joe, the unsophisticated and kind blacksmith. Dickens's themes include wealth and poverty, love and rejection, and the eventual triumph of good over evil. Great Expectations, which is popular both with readers and literary critics, has been translated into many languages and adapted numerous times into various media.",Historia,35.05,26,https://covers.openlibrary.org/b/id/13322313-M.jpg
The Art of War,孙武,"The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period. The work, which is attributed to the ancient Chinese military strategist Sun Tzu",Historia,31.60,5,https://covers.openlibrary.org/b/id/4849549-M.jpg
The Prince,Niccolò Machiavelli,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.

From Machiavelli's correspondence, a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities). However, the printed version was not published until 1532, five years after Machiavelli's death. This was carried out with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".

Although The Prince was written as if it were a traditional work in the mirrors for princes style, it was generally agreed as being especially innovative. This is partly because it was written in the vernacular Italian rather than Latin, a practice that had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.",Historia,37.12,50,https://covers.openlibrary.org/b/id/12726168-M.jpg
The Call of the Wild,Jack London,"As Buck, a mixed breed dog, is taken away from his home, instead of facing a feast for breakfast and the comforts of home, he faces the hardships of being a sled dog. Soon he lands in the wrong hands, being forced to keep going when it is too rough for him and the other dogs in his pack. He also fights the urges to run free with his ancestors, the wolves who live around where he is pulling the sled.",Historia,20.11,21,https://covers.openlibrary.org/b/id/12393037-M.jpg
The Prince,Niccolò Machiavelli,"The Prince (Italian: Il Principe [il ˈprintʃipe]; Latin: De Principatibus) is a 16th-century political treatise written by Italian diplomat and political theorist Niccolò Machiavelli as an instruction guide for new princes and royals. The general theme of The Prince is of accepting that the aims of princes – such as glory and survival – can justify the use of immoral means to achieve those ends.

From Machiavelli's correspondence, a version appears to have been distributed in 1513, using a Latin title, De Principatibus (Of Principalities). However, the printed version was not published until 1532, five years after Machiavelli's death. This was carried out with the permission of the Medici pope Clement VII, but ""long before then, in fact since the first appearance of The Prince in manuscript, controversy had swirled about his writings"".

Although The Prince was written as if it were a traditional work in the mirrors for princes style, it was generally agreed as being especially innovative. This is partly because it was written in the vernacular Italian rather than Latin, a practice that had become increasingly popular since the publication of Dante's Divine Comedy and other works of Renaissance literature.",Psicologia,22.68,13,https://covers.openlibrary.org/b/id/12726168-M.jpg
Persuasion,Jane Austen,"Persuasion tells the love story of Anne Elliot and Captain Frederick Wentworth, whose sister rents Miss Elliot's father's house, after the Napoleonic Wars come to an end. The story is set in 1814. The book itself is Jane Austen's last published book, published posthumously in December of 1818.",Psicologia,23.31,90,https://covers.openlibrary.org/b/id/12824691-M.jpg
Moby Dick,Herman Melville,"""Command the murderous chalices! Drink ye harpooners! Drink and swear, ye men that man the deathful whaleboat's bow -- Death to Moby Dick!"" So Captain Ahab binds his crew to fulfil his obsession -- the destruction of the great white whale. Under his lordly but maniacal command the Pequod's commercial mission is perverted to one of vengeance. To Ahab, the monster that destroyed his body is not a creature, but the symbol of ""some unknown but still reasoning thing."" Uncowed by natural disasters, ill omens, even death, Ahab urges his ship towards ""the undeliverable, nameless perils of the whale."" Key letters from Melville to Nathaniel Hawthorne are printed at the end of this volume. - Back cover.",Psicologia,21.77,55,https://covers.openlibrary.org/b/id/10544254-M.jpg
Hard Times,Charles Dickens,"Dickens scathing portrait of Victorian industrial society and its misapplied utilitarian philosophy, Hard Times features schoolmaster Thomas Gradgrind, one of his most richly dimensional, memorable characters. Filled with the details and wonders of small-town life, it is also a daring novel of ideas and ultimately, a celebration of love, hope, and limitless possibilities of the imagination.",Psicologia,36.53,99,https://covers.openlibrary.org/b/id/8236916-M.jpg
As a man thinketh,James Allen,On new thought.,Psicologia,40.20,38,https://covers.openlibrary.org/b/id/6268048-M.jpg
Ulysses,James Joyce,"Written over a seven-year period, from 1914 to 1921, this book has survived bowdlerization, legal action and controversy. The novel deals with the events of one day in Dublin, 16th June 1904, now known as ""Bloomsday"". The principal characters are Stephen Dedalus, Leopold Bloom and his wife Molly. Ulysses has been labelled dirty, blasphemous and unreadable. In a famous 1933 court decision, Judge John M. Woolsey declared it an emetic book-although he found it not quite obscene enough to disallow its importation into the United States-and Virginia Woolf was moved to decry James Joyce's ""cloacal obsession"". None of these descriptions, however, do the slightest justice to the novel. To this day it remains the modernist masterpiece, in which the author takes both Celtic lyricism and vulgarity to splendid extremes. It is funny, sorrowful, and even (in its own way) suspenseful. And despite the exegetical industry that has sprung up in the last 75 years, Ulysses is also a compulsively readable book.",Psicologia,29.46,21,https://covers.openlibrary.org/b/id/13136548-M.jpg
Saint Francis of Assisi,Gilbert Keith Chesterton,"G.K. Chesterton lends his witty, astute and sardonic prose to the much loved figure of Saint Francis of Assis. Grounding the man behind the myth he states ""however wild and romantic his gyrations might appear to many, [Francis] always hung on to reason by one invisible and indestructible hair....The great saint was sane....He was not a mere eccentric because he was always turning towards the center and heart of the maze; he took the queerest and most zigzag shortcuts through the wood, but he was always going home.""Review: ""his opinions shine from every page. The reader is rewarded with many fresh perspectives on Francis..."" -- Franciscan, May 2002",Psicologia,23.96,64,https://covers.openlibrary.org/b/id/502618-M.jpg
La Poetica,Aristotle,Conflated. Needs cleanup.,Psicologia,7.84,69,https://covers.openlibrary.org/b/id/129771-M.jpg
Der Antichrist,Friedrich Nietzsche,"""Here is Friedrich Nietzsche's great masterpiece The Anti-Christ, wherein Nietzsche attacks Christianity as a blight on humanity. This classic is essential reading for anyone wishing to understand Nietzsche and his place within the history of philosophy ...""--Description from www.amazon.com",Psicologia,13.28,7,https://covers.openlibrary.org/b/id/1759313-M.jpg
The Awakening,Kate Chopin,"The Awakening is a novel by Kate Chopin, first published in 1899. Set in New Orleans and on the Louisiana Gulf coast at the end of the 19th century, the plot centers on Edna Pontellier and her struggle between her increasingly unorthodox views on femininity and motherhood with the prevailing social attitudes of the turn-of-the-century American South. It is one of the earliest American novels that focuses on women's issues without condescension. It is also widely seen as a landmark work of early feminism, generating a mixed reaction from contemporary readers and critics.",Psicologia,46.05,3,https://covers.openlibrary.org/b/id/8750241-M.jpg
Tender is the Night,F. Scott Fitzgerald,"A psychiatrist, Dick Diver, treats and eventually marries a wealthy patient, Nicole.  Eventually, this marriage destroys him.",Psicologia,13.87,57,https://covers.openlibrary.org/b/id/6984433-M.jpg
Братья Карамазовы,Фёдор Михайлович Достоевский,"The Brothers Karamazov, Dostoevsky’s crowning achievement, is a tale of patricide and family rivalry that embodies the moral and spiritual dissolution of an entire society (Russia in the 1870s). It created a national furor comparable only to the excitement stirred by the publication, in 1866, of Crime and Punishment. To Dostoevsky, The Brothers Karamazov captured the quintessence of Russian character in all its exaltation, compassion, and profligacy. Significantly, the book was on Tolstoy’s bedside table when he died. Readers in every language have since accepted Dostoevsky’s own evaluation of this work and have gone further by proclaiming it one of the few great novels of all ages and countries.
([source][1])",Psicologia,40.10,96,https://covers.openlibrary.org/b/id/8272336-M.jpg
Basil,Wilkie Collins,Sin descripción disponible,Psicologia,48.57,57,https://covers.openlibrary.org/b/id/12968342-M.jpg
The Problems of Philosophy,Bertrand Russell,"In the following pages I have confined myself in the main to those problems of philosophy in regard to which I thought it possible to say something positive and constructive, since merely negative criticism seemed out of place. For this reason, theory of knowledge occupies a larger space than metaphysics in the present volume, and some topics much discussed by philosophers are treated very briefly, if at all.",Psicologia,25.93,82,https://covers.openlibrary.org/b/id/6947403-M.jpg
History,Herodotus,"One of the earliest histories of the western world still extant, this gives a contemporary account of the Greco-Persian wars of the fifth century BCE with the rise of the Achaemenid Empire under Cyrus the Great.",Psicologia,48.95,26,https://covers.openlibrary.org/b/id/9829028-M.jpg
La Peste,Albert Camus,"The Plague (French: La Peste) is a novel by Albert Camus, published in 1947, that tells the story of a plague sweeping the French Algerian city of Oran. It asks a number of questions relating to the nature of destiny and the human condition. The characters in the book, ranging from doctors to vacationers to fugitives, all help to show the effects the plague has on a populace.",Psicologia,49.32,82,https://covers.openlibrary.org/b/id/13151272-M.jpg
The Varieties of Religious Experience,William James,"This is one of the most remarkable books ever written about religious experience. James captures the reader’s attention with vivid instances of religious experience collected from diverse sources, including classical religious texts, newspaper articles, and clinical studies. In this collection of Gifford lectures given in Scotland in 1901, James analyzes religious experience, using wonderful examples, penetrating psychological analysis, and memorable typologies.",Psicologia,21.78,100,https://covers.openlibrary.org/b/id/2415434-M.jpg
The Old Man and the Sea,Ernest Hemingway,"Set in the Gulf Stream off the coast of Havana, Hemingway's magnificent fable is the tale of an old man, a young boy and a giant fish. This story of heroic endeavour won Hemingway the Nobel Prize for Literature. It stands as a unique and timeless vision of the beauty and grief of man's challenge to the elements.",Psicologia,5.68,22,https://covers.openlibrary.org/b/id/463307-M.jpg
Works (Awakening / Beyond the Bayou / Desiree's Baby / Kiss / Locket / Ma'ame Pelagie / Pair of Silk Stockings / Reflection / Respectable Woman),Kate Chopin,"Contains:
[The Awakening][1]
[Beyond the Bayou][2]
Ma'ame Pelagie
[Desiree's Baby][3]
A Respectable Woman
The Kiss
[A Pair of Silk Stockings][4]
The Locket
A Reflection


  [1]: https://openlibrary.org/works/OL15841605W/The_Awakening
  [2]: https://openlibrary.org/works/OL14943640W
  [3]: https://openlibrary.org/works/OL20078777W
  [4]: https://openlibrary.org/works/OL20078930W",Psicologia,34.15,68,https://covers.openlibrary.org/b/id/11513625-M.jpg
Бѣсы,Фёдор Михайлович Достоевский,"Also known as *Demons* or *The Devils*, this is Dostoyevsky’s most political novel. Though critical of the left-wing revolutionaries, split as they often were into disparate factions and cells the author also tacitly rebukes the conservative elite for failing to come to terms with the high levels of disaffection in the country, a stance that would ultimately lead to their downfall.",Psicologia,22.79,52,https://covers.openlibrary.org/b/id/9258937-M.jpg
Alice's Adventures in Wonderland,Lewis Carroll,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.",Infantiles,19.37,35,https://covers.openlibrary.org/b/id/10527843-M.jpg
Bible,Bible,"A Christian Bible is a set of books divided into the Old and New Testament that a Christian denomination has, at some point in their past or present, regarded as divinely inspired scripture.",Infantiles,10.66,21,https://covers.openlibrary.org/b/id/12707846-M.jpg
Oliver Twist,Charles Dickens,"Oliver Twist; or, The Parish Boy's Progress, is the second novel by English author Charles Dickens. It was originally published as a serial from 1837 to 1839, and as a three-volume book in 1838. The story follows the titular orphan, who, after being raised in a workhouse, escapes to London, where he meets a gang of juvenile pickpockets led by the elderly criminal Fagin, discovers the secrets of his parentage, and reconnects with his remaining family.

Oliver Twist unromantically portrays the sordid lives of criminals, and exposes the cruel treatment of the many orphans in London in the mid-19th century.[2] The alternative title, The Parish Boy's Progress, alludes to Bunyan's The Pilgrim's Progress, as well as the 18th-century caricature series by painter William Hogarth, A Rake's Progress and A Harlot's Progress.

In an early example of the social novel, Dickens satirises child labour, domestic violence, the recruitment of children as criminals, and the presence of street children. The novel may have been inspired by the story of Robert Blincoe, an orphan whose account of working as a child labourer in a cotton mill was widely read in the 1830s. It is likely that Dickens's own experiences as a youth contributed as well, considering he spent two years of his life in the workhouse at the age of 12 and subsequently, missed out on some of his education.",Infantiles,22.06,95,https://covers.openlibrary.org/b/id/13300802-M.jpg
The Wonderful Wizard of Oz,L. Frank Baum,"Over a century after its initial publication, The Wonderful Wizard of Oz is still captivating the hearts of countless readers. Come adventure with Dorothy and her three friends: the Scarecrow, the Tin Woodman, and the Cowardly Lion, as they follow the Yellow Brick Road to the Emerald City for an audience with the Great Oz, the mightiest Wizard in the land, and the only one that can return Dorothy to her home in Kansas.",Infantiles,31.47,86,https://covers.openlibrary.org/b/id/552443-M.jpg
The Secret Garden,Frances Hodgson Burnett,A ten-year-old orphan comes to live in a lonely house on the Yorkshire moors where she discovers an invalid cousin and the mysteries of a locked garden.,Infantiles,19.10,16,https://covers.openlibrary.org/b/id/12622062-M.jpg
Through the Looking-Glass,Lewis Carroll,"*Through the Looking-Glass, and What Alice Found There* (1871) is a work of children's literature by Lewis Carroll (Charles Lutwidge Dodgson), generally categorized in the fairy tale genre. It is the sequel to *Alice's Adventures in Wonderland* (1865). Although it makes no reference to the events in the earlier book, the themes and settings of *Through the Looking-Glass* make it a kind of mirror image of Wonderland: the first book begins outdoors, in the warm month of May, uses frequent changes in size as a plot device, and draws on the imagery of playing cards; the second opens indoors on a snowy, wintry night exactly six months later, on November 4 (the day before Guy Fawkes Night), uses frequent changes in time and spatial directions as a plot device, and draws on the imagery of chess. In it, there are many mirror themes, including opposites, time running backwards, and so on. ([Wikipedia][1])


  [1]: http://en.wikipedia.org/wiki/Through_the_Looking-Glass",Infantiles,39.78,16,https://covers.openlibrary.org/b/id/11272464-M.jpg
Five Children and It,Edith Nesbit,"Haven't you ever thought what you would wish for if you were granted three wishes? In Nesbit's delightful classic, five siblings find a creature that grants their wishes, but as the old saying goes: be careful what you wish for, it might come true...",Infantiles,49.59,8,https://covers.openlibrary.org/b/id/28174-M.jpg
The Adventures of Tom Sawyer,Mark Twain,"Mark Twain created the memorable characters Tom Sawyer and Huckleberry Finn drawing from the experiences of boys he grew up with in Missouri. Set by the Mississippi River in the 1840's, it follows these boys as they get into predicament after predicament. Tom's classic whitewashing of the fence has become part of American legend, and the book paints a nostalgic picture of life in the middle of the nineteenth century. Tom runs away from home to an island in the river, chases Injun Joe and his treasure, and even gets trapped in a cave for days with Becky Thatcher. The book is one of Twain's most beloved stories.",Infantiles,12.86,91,https://covers.openlibrary.org/b/id/12043351-M.jpg
David Copperfield,Charles Dickens,"It adds to the charm of this book to remember that it is virtually a picture of the author's own boyhood. It is an excellent picture of the life of a struggling English youth in the middle of the last century. The pictures of Canterbury and London are true pictures and through these pages walk one of Dickens' wonderful processions of characters, quaint and humorous, villainous and tragic. Nobody cares for Dickens heroines, least of all for Dora, but take it all in al, l this book is enjoyed by young people more than any other of the great novelist. After having read this you will wish to read Nicholas Nickleby for its mingling of pathos and humor, Martin Chuzzlewit for its pictures of American life as seen through English eyes, and Pickwick Papers for its crude but boisterous humor.",Infantiles,47.96,6,https://covers.openlibrary.org/b/id/1048892-M.jpg
The Old Curiosity Shop,Charles Dickens,"The sensational bestselling story of Little Nell, the beautiful child thrown into a shadowy, terrifying world, seems to belong less to the history of the Victorian novel than to folklore, fairy tale, or myth. The sorrows of Nell and her grandfather are offset by Dickens's creation of a dazzling contemporary world inhabited by some of his most brilliantly drawn characters—the eloquent ne'er-do-well Dick Swiveller; the hungry maid known as the ""Marchioness""; the mannish lawyer Sally Brass; Quilp's brow-beaten mother-in-law; and Quilp himself, the lustful, vengeful dwarf, whose demonic energy makes a vivid counterpoint to Nell's purity.",Infantiles,27.79,7,https://covers.openlibrary.org/b/id/13119794-M.jpg
The Lost World,Arthur Conan Doyle,"Journalist Ed Malone is looking for an adventure, and that's exactly what he finds when he meets the eccentric Professor Challenger - an adventure that leads Malone and his three companions deep into the Amazon jungle, to a lost world where dinosaurs roam free.",Infantiles,36.79,4,https://covers.openlibrary.org/b/id/8231444-M.jpg
The Story of the Treasure Seekers,Edith Nesbit,"The six Bastable children try to restore their family's fortune using a variety of schemes taken from books, including finding buried treasure, rescuing someone from bandits, and starting a newspaper.",Infantiles,16.15,0,https://covers.openlibrary.org/b/id/13241364-M.jpg
The Turn of the Screw,Henry James,The governess of two enigmatic children fears their souls are in danger from the ghosts of the previous governess and her sinister lover.,Infantiles,38.14,88,https://covers.openlibrary.org/b/id/181493-M.jpg
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,"A very real little girl named Alice follows a remarkable rabbit down a rabbit hole and steps through a looking-glass to come face to face with some of the strangest adventures and some of the oddest characters in all literature. The crusty Duchess, the Mad Hatter, the weeping Mock Turtle, the diabolical Queen of Hearts, the Cheshire-Cat, Tweedledum and Tweedledee--each one is more eccentric, and more entertaining, than the last. And all of them could only have come from the pen of Lewis Carroll, one of the few adults ever to enter successfully the children's world of make-believe--a wonderland where the impossible becomes possible, the unreal, real...where the heights of adventure are limited only by the depths of imagination.
--back cover

Contains:

 - [Alice's Adventures in Wonderland](https://openlibrary.org/works/OL8193508W)
 - [Through the Looking Glass, and What Alice Found There][2]

  [2]: https://openlibrary.org/works/OL15298516W",Infantiles,7.52,62,https://covers.openlibrary.org/b/id/8595966-M.jpg
Little men,Louisa May Alcott,"The characters from Little Women grow up and begin new adventures at Plumfield, a progressive school founded by Jo and her husband, Professor Bhaer.

Follows the adventures of Jo March and her husband Professor Bhaer as they try to make their school for boys a happy, comfortable, and stimulating place.***--LibraryThing***

With two sons of her own, and twelve rescued orphan boys filling the informal school at Plumfield, Jo March -- now Jo Bhaer -- couldn't be happier. But despite the warm and affectionate help of the whole March family, boys have a habit of getting into scrapes, and there are plenty of troubles and adventures in store.***--goodreads***",Infantiles,11.73,41,https://covers.openlibrary.org/b/id/8043576-M.jpg
The Enchanted Castle,Edith Nesbit,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",Infantiles,36.21,78,https://covers.openlibrary.org/b/id/6644514-M.jpg
